,keypoint,x,y,visibility
0,NOSE,0.3618847727775574,-0.7255420088768005,0.9808950424194336
1,LEFT_EYE_INNER,0.34756672382354736,-0.7783316969871521,0.948325514793396
2,LEFT_EYE,0.33985188603401184,-0.7771211266517639,0.9494252800941467
3,LEFT_EYE_OUTER,0.33197978138923645,-0.7758309245109558,0.9506551623344421
4,RIGHT_EYE_INNER,0.3701636791229248,-0.7795732617378235,0.9439331889152527
5,RIGHT_EYE,0.3757043182849884,-0.7795924544334412,0.938772439956665
6,RIGHT_EYE_OUTER,0.38144585490226746,-0.7796573042869568,0.930383026599884
7,LEFT_EAR,0.30611714720726013,-0.7325093150138855,0.9641947150230408
8,RIGHT_EAR,0.38442495465278625,-0.735841691493988,0.9356593489646912
9,MOUTH_LEFT,0.3479951024055481,-0.6685822606086731,0.9942048192024231
10,MOUTH_RIGHT,0.36233586072921753,-0.6702609658241272,0.9919794797897339
11,LEFT_SHOULDER,0.2048671990633011,-0.3923267722129822,0.9992677569389343
12,RIGHT_SHOULDER,0.4674796164035797,-0.40988022089004517,0.9974543452262878
13,LEFT_ELBOW,0.22222411632537842,0.09995782375335693,0.9281140565872192
14,RIGHT_ELBOW,0.5122174620628357,0.07396471500396729,0.814164400100708
15,LEFT_WRIST,0.30952879786491394,0.49227064847946167,0.8787341117858887
16,RIGHT_WRIST,0.5340211391448975,0.501013457775116,0.7685422301292419
17,LEFT_PINKY,0.33057424426078796,0.6074604392051697,0.842869758605957
18,RIGHT_PINKY,0.5379095673561096,0.6406861543655396,0.7285621762275696
19,LEFT_INDEX,0.3410891592502594,0.602092981338501,0.8461511731147766
20,RIGHT_INDEX,0.5235660076141357,0.6481226682662964,0.739329993724823
21,LEFT_THUMB,0.334190309047699,0.5648420453071594,0.8429799675941467
22,RIGHT_THUMB,0.5124828219413757,0.5997259616851807,0.7288245558738708
23,LEFT_HIP,0.2686256170272827,0.45426681637763977,0.9969509840011597
24,RIGHT_HIP,0.4291086196899414,0.4753420054912567,0.9954001903533936
25,LEFT_KNEE,0.33950790762901306,0.9453651309013367,0.8799699544906616
26,RIGHT_KNEE,0.3633369207382202,1.0348174571990967,0.8304251432418823
27,LEFT_ANKLE,0.37605634331703186,1.4458622932434082,0.672175407409668
28,RIGHT_ANKLE,0.3813886344432831,1.484300136566162,0.7275419235229492
29,LEFT_HEEL,0.37662750482559204,1.5168626308441162,0.5842302441596985
30,RIGHT_HEEL,0.381062388420105,1.552053689956665,0.6137514710426331
31,LEFT_FOOT_INDEX,0.3709929585456848,1.569111943244934,0.5973443984985352
32,RIGHT_FOOT_INDEX,0.3962353467941284,1.6118223667144775,0.6420051455497742
